Report_Section,Metric,Value,Feature,count,mean,std,min,25%,50%,75%,max,Correlation with Habitability,Avg_Non_Habitable,Avg_Habitable,Stellar Type,Count
1. DATASET OVERVIEW,Total Records,39315.0,,,,,,,,,,,,,,
1. DATASET OVERVIEW,Total Features,23.0,,,,,,,,,,,,,,
1. DATASET OVERVIEW,Habitable Planets Count,3927.0,,,,,,,,,,,,,,
1. DATASET OVERVIEW,Non-Habitable Planets Count,35388.0,,,,,,,,,,,,,,
1. DATASET OVERVIEW,Habitability Rate (%),9.99,,,,,,,,,,,,,,
2. DETAILED STATISTICAL SUMMARY,,,pl_rade,39315.0,-6.940058769728563e-17,1.0000127180348097,-2.064666497018725,-0.5956578052850015,-0.0995984147347832,0.3836813225374814,1.852690014271205,,,,,
2. DETAILED STATISTICAL SUMMARY,,,pl_bmasse,39315.0,2.8421709430404014e-14,0.0,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,,,,,
2. DETAILED STATISTICAL SUMMARY,,,pl_orbper,39315.0,1.445845577026784e-16,1.0000127180348097,-1.0207124758129855,-0.7451024749812193,-0.4155150007889864,0.3705015652962892,2.043907625712552,,,,,
2. DETAILED STATISTICAL SUMMARY,,,pl_orbsmax,39315.0,5.783382308107136e-18,1.0000127180348097,-1.6160241889186924,-0.4234929333526951,-0.0346106479459021,0.371527903691303,1.5640591592573,,,,,
2. DETAILED STATISTICAL SUMMARY,,,pl_eqt,39315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2. DETAILED STATISTICAL SUMMARY,,,pl_dens,39315.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_teff,39315.0,-7.294290936100126e-16,1.0000127180348097,-2.2421766211171112,-0.4982622602451099,0.1968099515054822,0.6643473136695577,2.408261674541559,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_lum,39315.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_met,39315.0,4.9158749618910656e-17,1.0000127180348097,-1.7692977984886504,-0.4561107839181094,0.0494662166915488,0.4193472257955845,1.732534240366126,,,,,
2. DETAILED STATISTICAL SUMMARY,,,habitability_score,39315.0,-1.0872758739241416e-15,1.0000127180348097,-1.3372319946811195,-0.5775673103208145,-0.2180533675548545,0.3375423525677802,3.0835611329220582,,,,,
2. DETAILED STATISTICAL SUMMARY,,,stellar_compatibility,39315.0,9.267870148741686e-16,1.0000127180348097,-0.231995267344067,-0.209113498384256,-0.166014185251027,-0.0886281398364293,26.249882763662157,,,,,
2. DETAILED STATISTICAL SUMMARY,,,orbital_stability,39315.0,2.371186746323926e-16,1.0000127180348097,-1.0799739751554749,-0.7275018429095939,-0.2750820094354586,0.49407439666699593,6.1016080405309765,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_B,39315.0,9.217265553545749e-17,1.0000127180348097,-0.0174734142217408,-0.0174734142217408,-0.0174734142217408,-0.0174734142217408,57.22979992975687,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_D,39315.0,5.060459519593744e-18,1.0000127180348097,-0.0071325841581133,-0.0071325841581133,-0.0071325841581133,-0.0071325841581133,140.20164050395417,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_F,39315.0,0.0,1.0000127180348097,-0.1060202345704894,-0.1060202345704894,-0.1060202345704894,-0.1060202345704894,9.43216173828716,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_G,39315.0,-1.1566764616214273e-16,1.0000127180348097,-4.430233342742091,0.2257217448011553,0.2257217448011553,0.2257217448011553,0.2257217448011553,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_K,39315.0,7.518397000539277e-17,1.0000127180348093,-0.1403997848929153,-0.1403997848929153,-0.1403997848929153,-0.1403997848929153,7.122518034929411,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_L,39315.0,9.397996250674096e-17,1.00001271803481,-0.0050434344813787,-0.0050434344813787,-0.0050434344813787,-0.0050434344813787,198.2775832009257,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_M,39315.0,-1.7350146924321407e-17,1.0000127180348097,-0.1301636520164508,-0.1301636520164508,-0.1301636520164508,-0.1301636520164508,7.682636315963341,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_T,39315.0,8.891950298714722e-17,1.0000127180348097,-0.0050434344813787,-0.0050434344813787,-0.0050434344813787,-0.0050434344813787,198.27758320092568,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_W,39315.0,3.976075336823656e-18,1.0000127180348093,-0.0123546266933751,-0.0123546266933751,-0.0123546266933751,-0.0123546266933751,80.94133678164697,,,,,
2. DETAILED STATISTICAL SUMMARY,,,st_spectype_m,39315.0,9.10882713526874e-17,1.0000127180348097,-0.0050434344813787,-0.0050434344813787,-0.0050434344813787,-0.0050434344813787,198.27758320092568,,,,,
2. DETAILED STATISTICAL SUMMARY,,,habitability,39315.0,0.09988553987027853,0.2998511392782157,0.0,0.0,0.0,0.0,1.0,,,,,
3. CORRELATION ANALYSIS,,,habitability,,,,,,,,,1.0,,,,
3. CORRELATION ANALYSIS,,,habitability_score,,,,,,,,,0.7384290100009516,,,,
3. CORRELATION ANALYSIS,,,orbital_stability,,,,,,,,,0.2022229569832636,,,,
3. CORRELATION ANALYSIS,,,st_spectype_G,,,,,,,,,0.032537321966917325,,,,
3. CORRELATION ANALYSIS,,,st_spectype_m,,,,,,,,,0.015139932607870521,,,,
3. CORRELATION ANALYSIS,,,st_spectype_M,,,,,,,,,0.013636015465111275,,,,
3. CORRELATION ANALYSIS,,,st_spectype_B,,,,,,,,,0.0038916281396128897,,,,
3. CORRELATION ANALYSIS,,,st_spectype_L,,,,,,,,,-0.0016800756005173442,,,,
3. CORRELATION ANALYSIS,,,st_spectype_T,,,,,,,,,-0.0016800756005173547,,,,
3. CORRELATION ANALYSIS,,,st_spectype_D,,,,,,,,,-0.002376015918701257,,,,
3. CORRELATION ANALYSIS,,,st_spectype_W,,,,,,,,,-0.0041155896716170755,,,,
3. CORRELATION ANALYSIS,,,stellar_compatibility,,,,,,,,,-0.005436301477112578,,,,
3. CORRELATION ANALYSIS,,,st_spectype_K,,,,,,,,,-0.03506422363778904,,,,
3. CORRELATION ANALYSIS,,,st_spectype_F,,,,,,,,,-0.03531760151156143,,,,
3. CORRELATION ANALYSIS,,,st_teff,,,,,,,,,-0.06515220038163808,,,,
3. CORRELATION ANALYSIS,,,st_met,,,,,,,,,-0.11389624973897489,,,,
3. CORRELATION ANALYSIS,,,pl_orbper,,,,,,,,,-0.16925628928974604,,,,
3. CORRELATION ANALYSIS,,,pl_orbsmax,,,,,,,,,-0.2073295447586092,,,,
3. CORRELATION ANALYSIS,,,pl_rade,,,,,,,,,-0.5144380884177107,,,,
3. CORRELATION ANALYSIS,,,pl_bmasse,,,,,,,,,nan,,,,
3. CORRELATION ANALYSIS,,,pl_eqt,,,,,,,,,nan,,,,
3. CORRELATION ANALYSIS,,,pl_dens,,,,,,,,,nan,,,,
3. CORRELATION ANALYSIS,,,st_lum,,,,,,,,,nan,,,,
4. MEAN VALUES BY HABITABILITY,,,pl_rade,,,,,,,,,,0.17137030004424708,-1.5442964547913975,,
4. MEAN VALUES BY HABITABILITY,,,pl_bmasse,,,,,,,,,,2.8421709430404014e-14,2.8421709430404014e-14,,
4. MEAN VALUES BY HABITABILITY,,,pl_orbper,,,,,,,,,,0.05638288014243703,-0.5080920199848631,,
4. MEAN VALUES BY HABITABILITY,,,pl_orbsmax,,,,,,,,,,0.06906589362891441,-0.6223844776521577,,
4. MEAN VALUES BY HABITABILITY,,,pl_eqt,,,,,,,,,,0.0,0.0,,
4. MEAN VALUES BY HABITABILITY,,,pl_dens,,,,,,,,,,-2.220446049250313e-16,-2.220446049250313e-16,,
4. MEAN VALUES BY HABITABILITY,,,st_teff,,,,,,,,,,0.021703587621758915,-0.19558099280846297,,
4. MEAN VALUES BY HABITABILITY,,,st_lum,,,,,,,,,,1.3877787807814457e-17,1.3877787807814457e-17,,
4. MEAN VALUES BY HABITABILITY,,,st_met,,,,,,,,,,0.037941270156953366,-0.34190620532576144,,
4. MEAN VALUES BY HABITABILITY,,,habitability_score,,,,,,,,,,-0.24598645367504132,2.2166968736063963,,
4. MEAN VALUES BY HABITABILITY,,,stellar_compatibility,,,,,,,,,,0.0018109479765187858,-0.016319283675327333,,
4. MEAN VALUES BY HABITABILITY,,,orbital_stability,,,,,,,,,,-0.06736478031913834,0.6070549645871345,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_B,,,,,,,,,,-0.0012963843404311423,0.0116823144994095,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_D,,,,,,,,,,0.000791501582143978,-0.0071325841581133,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_F,,,,,,,,,,0.011765046376125072,-0.1060202345704894,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_G,,,,,,,,,,-0.010838875957371787,0.09767408769530592,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_K,,,,,,,,,,0.011680640801906214,-0.10525961718814723,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_L,,,,,,,,,,0.0005596690179828654,-0.0050434344813787,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_M,,,,,,,,,,-0.004542447603076166,0.040934080921227356,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_T,,,,,,,,,,0.0005596690179828645,-0.0050434344813787,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_W,,,,,,,,,,0.0013709907037663623,-0.0123546266933751,,
4. MEAN VALUES BY HABITABILITY,,,st_spectype_m,,,,,,,,,,-0.0050434344813787,0.0454487036992699,,
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,B,12
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,D,2
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,F,437
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,G,37409
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,K,760
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,L,1
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,M,655
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,T,1
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,W,6
5. STELLAR TYPE COUNTS,,,,,,,,,,,,,,,m,1
